names,lat,lon,geometry
Purva Skydale bangalore,12.894033,77.66236169999999,POINT (77.66236169999999 12.894033)
Salarpuria Sattva Cadenza bangalore,12.889441,77.64022109999999,POINT (77.64022109999999 12.889441)
Shriram Summitt bangalore,12.8360678,77.6672418,POINT (77.6672418 12.8360678)
Shriram Luxor bangalore,13.085249,77.6549154,POINT (77.65491539999999 13.085249)
Ecolife Elements Of Nature bangalore,12.9387277,77.73112619999999,POINT (77.73112619999999 12.9387277)
Salarpuria Sattva East Crest bangalore,13.043223,77.7482414,POINT (77.7482414 13.043223)
Shriram Greenfield Phase 1 bangalore,13.0708496,77.75127239999999,POINT (77.75127239999999 13.0708496)
Century Infiniti bangalore,12.8975268,77.6772502,POINT (77.6772502 12.8975268)
Vaswani Exquisite bangalore,12.98979,77.7242795,POINT (77.72427949999999 12.98979)
Vaishnavi Gardenia bangalore,13.0425402,77.5194121,POINT (77.5194121 13.0425402)
Bren Edgewaters bangalore,12.9022215,77.6699666,POINT (77.6699666 12.9022215)
DSMAX SAROVAR bangalore,12.7815368,77.7818487,POINT (77.7818487 12.7815368)
Niranjan Tridha bangalore,12.8810058,77.63616139999999,POINT (77.63616139999999 12.8810058)
Bren Imperia bangalore,12.9068814,77.671808,POINT (77.671808 12.9068814)
Nandi Citadel bangalore,12.8613592,77.60688379999999,POINT (77.60688379999999 12.8613592)
Sobha Avenue bangalore,13.0287887,77.74967880000001,POINT (77.74967880000001 13.0287887)
Provident Sunworth bangalore,12.8818045,77.4705858,POINT (77.47058579999999 12.8818045)
Purva Northern Waves bangalore,13.0630984,77.66295629999999,POINT (77.66295629999999 13.0630984)
Prestige Falcon City bangalore,12.885663,77.56377499999999,POINT (77.56377499999999 12.885663)
Mahaveer Ranches bangalore,12.8783657,77.6708668,POINT (77.6708668 12.8783657)
SNN Raj Etternia bangalore,12.8905902,77.6681103,POINT (77.6681103 12.8905902)
Karsten Palm Groves bangalore,12.7741873,77.6961678,POINT (77.6961678 12.7741873)
Salarpuria Sattva Celesta bangalore,13.018456,77.703632,POINT (77.703632 13.018456)
DSMAX SKYCITY bangalore,13.0810365,77.6343988,POINT (77.6343988 13.0810365)
Meda Greens bangalore,12.9206595,77.4926622,POINT (77.4926622 12.9206595)
Phoenix One Bangalore West bangalore,13.0097168,77.5540958,POINT (77.5540958 13.0097168)
Salarpuria Sattva Greenage Phase II bangalore,12.9024372,77.6313115,POINT (77.6313115 12.9024372)
Mahidhara Fortune City bangalore,12.7748955,77.7830251,POINT (77.7830251 12.7748955)
